id_diagnostico,sector,tamano_empresa,porcentaje_procesos_documentados,presupuesto_anual_tecnología,respuesta_texto,nivel_madurez,recomendacion_principal
"DIAG_0000,Tecnología,Micro,0.05,3000000,""El trabajo es muy empírico, no hay documentación de lo que hacemos."",Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados."
"DIAG_0001,Tecnología,Grande,0.81,261000000,""Todo está automatizado, usamos datos para mejorar continuamente."",Optimizado,Aplicar MLOps y analítica predictiva para optimizar el ciclo de vida del software."
DIAG_0002,Tecnología,Pequeña,0.27,47000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_0003,Tecnología,Pequeña,0.3,19000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
"DIAG_0004,Manufactura,Micro,0.08,6000000,""Todo es manual, dependemos de una sola persona para la contabilidad."",Inicial,Estandarizar el registro diario de mermas e inventario en plantillas compartidas."
DIAG_0005,Manufactura,Micro,0.11,7000000,Perdemos mucha información porque todo se anota en cuadernos. Nos gustaría mejorar pronto.,Inicial,Estandarizar el registro diario de mermas e inventario en plantillas compartidas.
"DIAG_0006,Manufactura,Mediana,0.14,1000000,""No tenemos procesos definidos, usamos hojas de cálculo desordenadas."",Inicial,Estandarizar el registro diario de mermas e inventario en plantillas compartidas."
"DIAG_0007,Manufactura,Micro,0.46,34000000,""Tenemos algunos sistemas aislados, hay mucho desorden todavía."",En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales."
DIAG_0008,Manufactura,Pequeña,0.31,27000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales.
"DIAG_0009,Tecnología,Pequeña,0.25,34000000,""Tenemos algunos sistemas aislados, hay mucho desorden todavía."",En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs."
"DIAG_0010,Retail,Mediana,0.05,1000000,""Todo es manual, dependemos de una sola persona para la contabilidad."",Inicial,Implementar un sistema POS básico para abandonar el registro manual de ventas."
"DIAG_0011,Servicios,Mediana,0.84,440000000,""Todo está automatizado, usamos datos para mejorar continuamente."",Optimizado,Utilizar analítica avanzada para hiper-personalización y recomendaciones de up-selling."
DIAG_0012,Manufactura,Pequeña,0.62,132000000,Documentamos todo y tenemos claridad de los roles y responsabilidades.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
"DIAG_0013,Manufactura,Pequeña,0.15,9000000,""No tenemos procesos definidos, usamos hojas de cálculo desordenadas."",Inicial,Estandarizar el registro diario de mermas e inventario en plantillas compartidas."
DIAG_0014,Servicios,Grande,0.27,18000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
"DIAG_0015,Tecnología,Micro,0.03,3000000,""Todo es manual, dependemos de una sola persona para la contabilidad."",Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados."
DIAG_0016,Servicios,Micro,0.08,8000000,Perdemos mucha información porque todo se anota en cuadernos.,Inicial,Digitalizar la base de datos de clientes y centralizar la agenda de servicios.
"DIAG_0017,Tecnología,Micro,0.15,6000000,""El trabajo es muy empírico, no hay documentación de lo que hacemos. Nos gustaría mejorar pronto."",Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados."
